,index,Harvest_year,country,state,crop,hectares,production,year,yield
0,0,1902,3,3,3,,,1902,1.31
1,1,1903,3,3,3,,,1903,1.47
2,2,1904,3,3,3,,,1904,1.27
3,3,1905,3,3,3,,,1905,1.33
4,4,1906,3,3,3,,,1906,1.28
5,5,1907,3,3,3,,,1907,1.37
6,6,1908,3,3,3,,,1908,1.36
7,7,1909,3,3,3,,,1909,1.35
8,8,1910,3,3,3,,,1910,1.18
9,9,1911,3,3,3,,,1911,1.37
10,10,1912,3,3,3,,,1912,1.39
11,11,1913,3,3,3,,,1913,1.46
12,12,1914,3,3,3,,,1914,1.42
13,13,1915,3,3,3,,,1915,1.21
14,14,1916,3,3,3,,,1916,
15,15,1917,3,3,3,,,1917,0.98
16,16,1918,3,3,3,,,1918,0.8699999999999999
17,17,1919,3,3,3,,,1919,
18,18,1920,3,3,3,,,1920,0.98
19,19,1921,3,3,3,,,1921,1.16
20,20,1922,3,3,3,,,1922,1.09
21,21,1923,3,3,3,,,1923,1.26
22,22,1924,3,3,3,,,1924,1.18
23,23,1925,3,3,3,,,1925,1.48
24,24,1926,3,3,3,,,1926,1.27
25,25,1927,3,3,3,,,1927,1.59
26,26,1928,3,3,3,,,1928,1.69
27,27,1929,3,3,3,,,1929,1.51
28,28,1930,3,3,3,,,1930,1.59
29,29,1931,3,3,3,,,1931,1.43
30,30,1932,3,3,3,,,1932,1.53
31,31,1933,3,3,3,,,1933,1.81
32,32,1934,3,3,3,,,1934,1.66
33,33,1935,3,3,3,,,1935,1.73
34,34,1936,3,3,3,,,1936,1.51
35,35,1937,3,3,3,,,1937,1.62
36,36,1938,3,3,3,,,1938,1.9
37,37,1939,3,3,3,,,1939,1.76
38,38,1940,3,3,3,,,1940,1.33
39,39,1941,3,3,3,,,1941,1.52
40,40,1942,3,3,3,,,1942,1.33
41,41,1943,3,3,3,,,1943,1.65
42,42,1944,3,3,3,,,1944,1.42
43,43,1945,3,3,3,,,1945,
44,44,1946,3,3,3,,,1946,1.15
45,45,1947,3,3,3,,,1947,1.04
46,46,1948,3,3,3,,,1948,1.28
47,47,1949,3,3,3,,,1949,1.69
48,48,1950,3,3,3,,,1950,1.76
49,49,1951,3,3,3,,,1951,1.82
50,50,1952,3,3,3,,,1952,1.98
51,51,1953,3,3,3,,,1953,2.3
52,52,1954,3,3,3,,,1954,1.9
53,53,1955,3,3,3,,,1955,2.25
54,54,1956,3,3,3,,,1956,2.27
55,55,1957,3,3,3,,,1957,2.23
56,56,1958,3,3,3,,,1958,2.09
57,57,1959,3,3,3,,,1959,2.2
58,58,1960,3,3,3,,,1960,2.53
59,59,1961,3,3,3,275822.0,,1961,2.58
60,60,1962,3,3,3,270351.0,,1962,2.612
61,61,1963,3,3,3,274722.0,,1963,2.51
62,62,1964,3,3,3,282967.0,,1964,2.652
63,63,1965,3,3,3,275654.0,,1965,2.397
64,64,1966,3,3,3,313812.0,,1966,2.858
65,65,1967,3,3,3,316319.0,,1967,3.305
66,66,1968,3,3,3,305691.0,,1968,3.417
67,67,1969,3,3,3,286470.0,,1969,3.317
68,68,1970,3,3,3,275229.0,,1970,2.959998609453399
69,69,1971,3,3,3,273849.0,,1971,3.600014718869591
70,70,1972,3,3,3,274404.0,,1972,3.170000538134518
71,71,1973,3,3,3,266287.0,,1973,3.560890371382046
72,72,1974,3,3,3,269131.0,,1974,4.139997043039755
73,73,1975,3,3,3,269567.0,,1975,3.54000153027118
74,74,1976,3,3,3,289328.0,,1976,4.329999631097044
75,75,1977,3,3,3,285158.0,,1977,3.789998545514217
76,76,1978,3,3,3,286038.0,,1978,4.229998980551184
77,77,1979,3,3,3,270188.0,,1979,3.169997454925931
78,78,1980,3,3,3,268753.0,,1980,4.520000040481897
79,79,1981,3,3,3,274286.0,,1981,3.780001460655084
80,80,1982,3,3,3,289090.0,,1982,4.309997221126946
81,81,1983,3,3,3,312883.0,,1983,4.580001098625686
82,82,1984,3,3,3,315126.0,,1984,4.820001844016677
83,83,1985,3,3,3,319837.0,,1985,4.948669394037589
84,84,1986,3,3,3,324415.0,,1986,4.410001204803149
85,85,1987,3,3,3,320366.0,,1987,4.579999389460045
86,86,1988,3,3,3,291938.0,,1988,5.420000890776015
87,87,1989,3,3,3,278068.0,,1989,4.979999373266692
