,index,crop,hectares,production,year,yield
0,575,3,1573000.0,1580000.0,1922,1.004450095359186
1,576,3,1630000.0,1547000.0,1923,0.9490797546012272
2,577,3,1763000.0,1721000.0,1924,0.9761769710720364
3,578,3,1598000.0,1659000.0,1925,1.038172715894869
4,579,3,1962000.0,2042000.0,1926,1.040774719673802
5,580,3,1934000.0,2053000.0,1927,1.06153050672182
6,581,3,1886000.0,1958000.0,1928,1.038176033934253
7,582,3,1727000.0,1585000.0,1929,0.9177764910248988
8,583,3,2025000.0,2022000.0,1930,0.9985185185185184
9,584,3,1962000.0,1931000.0,1931,0.9841997961264016
10,585,3,2002000.0,1902000.0,1932,0.95004995004995
11,586,3,2204000.0,2127000.0,1933,0.9650635208711432
12,587,3,1848000.0,1720000.0,1934,0.9307359307359307
13,588,3,2088000.0,1989000.0,1935,0.9525862068965516
14,589,3,2229000.0,2220000.0,1936,0.9959623149394348
15,590,3,2069000.0,2037000.0,1937,0.9845335911068148
16,591,3,2006000.0,1926000.0,1938,0.9601196410767696
17,592,3,2030000.0,1985000.0,1939,0.9778325123152708
18,593,3,1983000.0,1900000.0,1940,0.9581442259203228
19,594,3,2229000.0,2433000.0,1941,1.091520861372813
20,595,3,2214000.0,2165000.0,1942,0.9778681120144534
21,596,3,1812000.0,1604000.0,1943,0.8852097130242825
22,597,3,1399000.0,1176000.0,1944,0.8406004288777699
23,598,3,1488000.0,1399000.0,1945,0.9401881720430108
24,599,3,1150000.0,1096000.0,1946,0.9530434782608695
25,600,3,1614000.0,1328000.0,1947,0.8228004956629492
26,601,3,2002000.0,1600000.0,1948,0.7992007992007992
27,602,3,2224000.0,1850000.0,1949,0.8318345323741008
28,603,3,1800000.0,1600000.0,1950,0.8888888888888888
29,604,3,1441000.0,1550000.0,1951,1.075641915336571
30,605,3,1794000.0,1205000.0,1952,0.6716833890746934
31,606,3,1499000.0,1303000.0,1953,0.8692461641094062
32,607,3,2000000.0,2154000.0,1954,1.077
33,608,3,1578000.0,1462000.0,1955,0.926489226869455
34,609,3,1702000.0,1431000.0,1956,0.8407755581668626
35,610,3,1556000.0,1309000.0,1957,0.8412596401028277
36,611,3,2106000.0,2012000.0,1958,0.9553656220322888
37,612,3,1677000.0,1475000.0,1959,0.8795468097793679
38,613,3,1929000.0,1793000.0,1960,0.9294971487817522
39,614,3,1823000.0,1706000.0,1961,0.9358200767964892
40,615,3,2352000.0,2451000.0,1962,1.042091836734694
41,616,3,1867000.0,1750000.0,1963,0.9373326191751472
42,617,3,2775000.0,2889000.0,1964,1.041081081081081
43,618,3,1762000.0,1708000.0,1965,0.9693530079455164
44,619,3,2746000.0,2781000.0,1966,1.012745812090313
45,620,3,1762000.0,1686000.0,1967,0.956867196367764
46,621,3,2314000.0,2353000.0,1968,1.01685393258427
47,622,3,1599000.0,1601000.0,1969,1.001250781738587
48,623,3,2102000.0,2101000.0,1970,0.9995242626070407
49,624,3,1858000.0,1883000.0,1971,1.013455328310011
50,625,3,1508000.0,1649000.0,1972,1.093501326259947
51,626,3,2368000.0,2691000.0,1973,1.136402027027027
52,627,3,1934000.0,2128000.0,1974,1.100310237849017
53,628,3,1774000.0,2178000.0,1975,1.227733934611048
54,629,3,1434000.0,1827000.0,1976,1.274058577405858
55,630,3,1711000.0,2227000.0,1977,1.301578024547048
56,631,3,2164000.0,3025000.0,1978,1.397874306839187
57,632,3,1793000.0,2663000.0,1979,1.485220301171222
58,633,3,1814000.0,2822000.0,1980,1.555678059536935
59,634,3,2008000.0,3313000.0,1981,1.649900398406374
60,635,3,1265000.0,2153000.0,1982,1.70197628458498
61,636,3,2020000.0,3656000.0,1983,1.80990099009901
62,637,3,2153000.0,3922000.0,1984,1.82164421737111
63,638,3,1494000.0,2872000.0,1985,1.92235609103079
64,639,3,2000000.0,4075000.0,1986,2.0375
65,640,3,1560000.0,3355000.0,1987,2.150641025641025
66,641,3,2174000.0,4517000.0,1988,2.077736890524379
67,642,3,1830000.0,4135000.0,1989,2.259562841530055
68,643,3,1946000.0,4497000.0,1990,2.310894141829394
69,644,3,1689000.0,4005000.0,1991,2.371225577264654
70,645,3,2328000.0,5520000.0,1992,2.371134020618557
71,646,3,1652000.0,3957000.0,1993,2.395278450363196
72,647,3,1787059.0,4299241.0,1994,2.405763323986505
73,648,3,2064403.0,5010784.0,1995,2.42723150470136
74,649,3,2082782.0,5608042.0,1996,2.692572722445268
75,650,3,1748536.0,4841838.0,1997,2.769081105564885
76,651,3,2217932.0,6130877.0,1998,2.764231274899321
77,652,3,1886015.0,5242159.0,1999,2.779489558672651
